SampleCode,SampleType,AVG_Norm,contIndex
587418,Lymphoid,571.5919892,0.01442
636115,Lymphoid,469.4704649,0.02009
635614,Lymphoid,993.7905717,0.02351
587419,Lymphoid,117.6698512,0.0148
636187,Lymphoid,388.1792765,0.02396
587623,Lymphoid,257.8591722,0.03283
635615,Lymphoid,941.7567873,0.02289
587625,Lymphoid,243.6529471,0.01715
587421,Lymphoid,187.9717714,0.01624
587422,Lymphoid,359.0485292,0.01608
587423,Lymphoid,333.2729041,0.01814
587626,Lymphoid,307.6699344,0.01454
587627,Lymphoid,104.1665438,0.01746
587628,Lymphoid,468.1086042,0.02083
587629,Lymphoid,253.8623143,0.01825
587424,Lymphoid,1059.696573,0.01999
587425,Lymphoid,668.57825,0.01911
635616,Lymphoid,578.4686675,0.01912
587630,Lymphoid,321.3854989,0.01629
588246,Lymphoid,364.7309337,0.02566
587631,Lymphoid,225.9989412,0.03912
587632,Lymphoid,82.35764527,0.01989
587633,Lymphoid,899.6221635,0.02204
587634,Lymphoid,202.2566457,0.023
587635,Lymphoid,151.6641639,0.01866
587638,Lymphoid,143.8474891,0.03187
635617,Lymphoid,423.9531519,0.02136
587639,Lymphoid,126.0020505,0.04849
587640,Lymphoid,419.2039022,0.04065
636849,Lymphoid,664.7341264,0.01855
639149,Lymphoid,379.8888518,0.02182
639148,Lymphoid,733.4410035,0.03029
587428,Lymphoid,532.7419008,0.02043
636074,Lymphoid,810.1177109,0.01716
587641,Lymphoid,561.1667145,0.03761
587642,Lymphoid,205.8195543,0.05131
587646,Lymphoid,60.2468073,0.04509
587649,Lymphoid,291.4996854,0.04615
587650,Lymphoid,174.1378903,0.02204
587653,Lymphoid,101.8740895,0.03604
587654,Lymphoid,284.0833871,0.03252
587429,Lymphoid,103.7315845,0.01752
639186,Lymphoid,632.982539,0.02414
587657,Lymphoid,200.6226526,0.02984
587658,Lymphoid,210.0481152,0.03334
587659,Lymphoid,199.6291723,0.03306
587661,Lymphoid,371.3129523,0.04085
587660,Lymphoid,362.0744581,0.06633
636015,Lymphoid,665.8895147,0.02052
635618,Lymphoid,714.2802015,0.02091
636813,Lymphoid,368.3944227,0.01373
587662,Lymphoid,161.0801423,0.02536
587663,Lymphoid,522.6422163,0.0493
587664,Lymphoid,92.79878761,0.05107
636081,Other,887.7657405,0.02736
636881,Other,361.1511463,0.02034
639182,Other,332.9795401,0.02377
636745,Other,529.8420389,0.04058
636862,Other,984.5288497,0.01953
636765,Other,470.8743131,0.02912
636781,Other,373.0790051,0.01958
636083,Other,568.2702494,0.01451
587643,Other,166.6138435,0.05807
587665,Ovary,231.3119667,0.02507
586986,Ovary,234.9126741,0.02716
587667,Ovary,586.2463147,0.02773
636075,Ovary,312.185217,0.01742
636141,Ovary,815.4916004,0.01651
636154,Ovary,1098.859622,0.01932
636839,Ovary,677.2578455,0.01902
636142,Ovary,603.4705269,0.01745
636882,Ovary,493.0560153,0.02191
636780,Ovary,1526.215661,0.02674
636748,Ovary,875.0361204,0.02833
587669,Ovary,176.7883451,0.01874
587671,Ovary,271.4673918,0.02554
587672,Ovary,241.173983,0.01777
636784,Ovary,969.4007232,0.02912
636749,Ovary,308.9954268,0.03309
587673,Ovary,164.250215,0.0185
639153,Ovary,247.1261218,0.02394
639216,Ovary,133.309228,0.02309
636076,Ovary,249.2217772,0.02176
639205,Ovary,577.6731019,0.0233
639208,Ovary,292.4618468,0.02405
636077,Ovary,559.1154151,0.01966
587675,Ovary,782.6135108,0.01377
587676,Ovary,823.7385615,0.01216
636078,Ovary,434.3387524,0.0233
587677,Ovary,341.1101123,0.02477
636783,Ovary,334.4964492,0.01977
587679,Ovary,307.7710196,0.02572
587680,Ovary,452.2799466,0.01895
636079,Ovary,1938.815191,0.02156
587683,Ovary,580.9959897,0.0226
587684,Ovary,221.2592586,0.02073
587685,Ovary,205.5156727,0.02494
588245,Ovary,662.9161971,0.02165
639206,Ovary,356.0254502,0.02639
639211,Ovary,1225.420052,0.02294
639227,Ovary,522.192299,0.02625
639212,Ovary,365.5934173,0.02159
639207,Ovary,206.8754049,0.02487
636200,Ovary,232.2567182,0.02827
636080,Ovary,282.7076065,0.01917
639213,Ovary,124.8351448,0.0217
639214,Ovary,195.7643834,0.02277
639215,Ovary,535.4177315,0.02432
587686,Ovary,253.9616276,0.01918
587687,Ovary,521.9368953,0.01823
639217,Ovary,642.421404,0.02153
587689,Pancreas,201.8888194,0.01799
635998,Pancreas,248.2713017,0.02207
587691,Pancreas,421.9128568,0.02309
587692,Pancreas,642.7143815,0.01415
587693,Pancreas,519.4178212,0.02406
635999,Pancreas,360.7295109,0.0179
587695,Pancreas,157.5912722,0.01361
587696,Pancreas,344.9423319,0.02124
587697,Pancreas,227.5854801,0.02081
587698,Pancreas,602.8069381,0.01646
636000,Pancreas,506.4698797,0.02763
636001,Pancreas,142.7864611,0.021
636002,Pancreas,419.3907094,0.0173
636003,Pancreas,466.9053966,0.02178
636004,Pancreas,494.4587784,0.02184
587699,Pancreas,214.3425445,0.01582
587700,Pancreas,435.8922103,0.01889
587708,Pancreas,396.3358298,0.01859
636006,Pancreas,255.7194769,0.02071
587709,Pancreas,289.4022598,0.02305
587701,Pancreas,323.2721515,0.01964
587702,Pancreas,537.4748795,0.01771
587703,Pancreas,979.1310884,0.01771
587704,Pancreas,242.5961007,0.02082
